,IdUs,GeneroUs,NombreUs,CorreoUs,TipoUs,DescripcionUs,StatusUs,TelefonoUs,IdPerm
0,74d77d915372473eb0531d0012abcd8b,female,Brooke Cole,brooke_cole@senecyt.ec,1,ZHo9h6cftYWbuSoRlf2l,Desactivo,4949185513,ebb3cd3e3dd342dcb9c5f0810b46fdd1
1,c22136e1b97b479a982478d0d82e84a4,male,Luis Scott,luis.scott@senecyt.ec,1,cGKdmxMeiVCtXkf6nOOB,Activo,4842396579,e46e51277e1648efa52bbecbbb42284c
2,efc111a6893d405995b0e38a0e16c012,female,Shelley Bruce,shelley_bruce@senecyt.ec,3,aH1KHyB3PynRAWUawr7T,Activo,0925804387,c44705ba77094a8da082cb79a71e1f3e
3,21e9a926dbcf46c68c0c9d059aa2f755,female,Kimberly Mccarty,kimberly_mccarty@senecyt.ec,3,RxdlRZF1KrTgVIUsKgRc,Activo,8936151862,05321b0e547e4e41ac591c95d3a837a7
4,728ef1bbb7fe4b4abaccc21e9f9ddf24,male,Kevin Evans,kevin_evans@senecyt.ec,2,kGsKhfMuXr97yByebRaK,Desactivo,9716819675,ca9071eed3494c48b083175bf93a44b2
5,3f42d88ff92044a89c902e17539ba3a3,female,Natalie Parker,natalie_parker@senecyt.ec,3,zKodRA8QPPOk9lDa0kBE,Activo,5620852839,610f67ecc39f4c209a1d99ee66f413c9
6,fb2dcd5df6b74cf981e45096ff91466c,female,Abigail Moss,abigail.moss@senecyt.ec,3,4HfNXmU4Nq3jUD0anaEm,Activo,8904496698,95a725ecebc742c8835e033028c0ee35
7,cfc72875def647348413988f6106a29e,female,Valerie Wells,valerie_wells@senecyt.ec,1,ops6t2WTJvtwKGpsLMqi,Activo,7408810765,4e5b7ab014ba46fc91355988e98a3810
8,436aa070499f45f8b89929c90836f7e6,female,Dr. Brittany Harris,dr._brittany@senecyt.ec,1,6OiSJU9q1QL9X1sQhb2J,Desactivo,7339906954,633182a1d43348d2b7b1ca24e8bfe89f
9,4139af1efb8c4e3497c77f412c317b38,male,Mark Morales,mark.morales@senecyt.ec,3,KqBgE7yf9VT62ylFcAfc,Activo,2875545304,f41f4fb0d96843118e137f0874a229a1
10,2e5818cca5af4205b8d3556254f678f6,male,Jonathan Carlson,jonathan_carlson@senecyt.ec,3,V4arwsdQAiDc56LuVuHh,Desactivo,0055847327,03f4ae937e0241ed946a583586c1161a
11,0187325822d2400a8e0ade142d378278,female,Alexandra Gonzalez PhD,alexandra_gonzalez@senecyt.ec,3,NjyAviPKKbWZu4iAneZZ,Activo,0959080391,63879684d6e5423d854f7e543a8b8096
12,185fded1d7844f2a8a54c76719bfdb88,female,Angela Rodgers,angela.rodgers@senecyt.ec,1,jYrcKJlRb7CE4hly8URU,Activo,9459353838,bab4f055a97d486c9613272f1c4b7f56
13,cd43ce0e78e84a4b9b837bc568b4e558,male,Mark Ramos,mark_ramos@senecyt.ec,3,IeRVuS0sPDQDCtFpmy5W,Activo,3499622794,0ef59d6e7b7c4b75ac4c4b52037c4994
14,14a1b7b737854382a03bc9698d3c078f,male,Benjamin Santos DVM,benjamin.santos@senecyt.ec,3,ilNBO9YqPtb46GLXg7WY,Activo,0248230758,d8d8beaf18084459b268a36d76396e4b
15,ab9ba73fe9264641ae02fe832384d38c,male,John Cortez,john.cortez@senecyt.ec,3,0BbZr3Sv5R3YbVPVdjnF,Activo,6332932254,4522a4342336464ba0cc69bed3d8bcef
16,4bb724ced1034e199673bbce6da42768,male,Jonathan Alvarado,jonathan_alvarado@senecyt.ec,3,KS9ansVOKLPrqUbIokeC,Desactivo,4132644768,2ba23cddebb44649b5a1f291c21bdccf
17,d944b49c23734f8699d9730cfb8f9634,male,Trevor Kennedy,trevor_kennedy@senecyt.ec,3,jzChH0RvJ33j8TkVpfxW,Activo,6383708406,c8d6939ee5e7484ca54b95ddb6ccc798
18,db7dc77afed24840a2532e8f20ad6720,female,Danielle Andersen,danielle_andersen@senecyt.ec,2,1ehInI1wO7g5qEFfP7j0,Activo,6887389359,071d87cfdddc4ac0a52e895aee6a8162
19,dfbc3056c788458194e797f7a2ca226c,female,Bianca Williamson,bianca_williamson@senecyt.ec,1,bZArJetx2bQkvcsRN4ap,Desactivo,5589587158,38f14b592b424b4aa486ba3c8ca0c39d
20,faa5c5eba6f84e1abb2752d6581e63b1,female,Monica Coleman,monica.coleman@senecyt.ec,2,CUS2v76fmj5YlyeIaJBI,Activo,6223152869,6aa8229f520742ea9053cc09ba1cc674
21,1663763b633144069a1b3be105de6175,female,Heather Schmitt,heather_schmitt@senecyt.ec,3,h8SrNKzGnoOS32x6qUet,Activo,4880193880,e59df834140e448e9158c9bd7502014f
22,b5cf405d89844d5d986596e630993a9c,female,Barbara Berry,barbara_berry@senecyt.ec,1,X0lWS4QvGA4NuMF0wfe2,Desactivo,9151391756,5b563303c7264abebc88c53713dd9f6a
